사업소| 호기 | 일자| 용량(MW)| 발전량(MWh)| 열효율(%)| 이용율(%)| 발전원
경상대태양광| 1| 202412| 0.91| 78.62| 0| 11.61| 태양력
고흥만 수상태양광| 1| 202412| 63.48| 6026.18| 0| 12.76| 태양력
광양항세방태양광| 1| 202412| 3.1| 204.02| 0| 8.85| 태양력
구미태양광| 1| 202412| 0.99| 94.24| 0| 12.79| 태양력
군위 화산풍력| 1| 202412| 11.55| 3323.39| 0| 38.67| 
두산태양광| 1| 202412| 0.08| 6.25| 0| 10.5| 태양력
분당| CG1| 202412| 77.76| 52698| 30.85| 91.09| 복합
분당| CG2| 202412| 77.76| 26642| 30.5| 46.05| 복합
분당| CG3| 202412| 77.76| 63329| 31.96| 109.46| 복합
분당| CG4| 202412| 77.76| 2407| 31.1| 4.16| 복합
분당| CG5| 202412| 77.76| 38057| 21.41| 65.78| 복합
분당| CG6| 202412| 77.76| 59097| 32.01| 102.15| 복합
분당| CG7| 202412| 77.76| 34106| 32.29| 58.95| 복합
분당| CG8| 202412| 77.76| 63153| 31.96| 109.16| 복합
분당| CS1| 202412| 185| 51114| 0| 37.14| 복합
분당| CS2| 202412| 115| 43965| 0| 51.38| 복합
분당연료전지| 2| 202412| 3.08| 745.69| 30.84| 32.54| 기타
분당연료전지| 3| 202412| 5.72| 3143.08| 32.5| 73.86| 기타
분당연료전지| 4| 202412| 16.72| 9373.34| 32.06| 75.35| 기타
분당연료전지| 5| 202412| 5.72| 3437.85| 33.02| 80.78| 기타
분당연료전지| 6-1| 202412| 5.1| 3584.95| 47.58| 94.48| 기타
분당연료전지| 6-2| 202412| 3.25| 2336.45| 46.96| 96.63| 기타
삼천포| 3| 202412| 560| 328249| 35.22| 78.78| 석탄
삼천포| 4| 202412| 560| 119411| 36.3| 28.66| 석탄
삼천포| 5| 202412| 500| 220525| 36.37| 59.28| 석탄
삼천포| 6| 202412| 500| 281868| 35.96| 75.77| 석탄
삼천포태양광| 1| 202412| 0.1| 6.99| 0| 9.4| 태양력
삼천포태양광| 2| 202412| 0.99| 102.31| 0| 13.89| 태양력
삼천포태양광| 3| 202412| 0.35| 28.85| 0| 11.08| 태양력
삼천포태양광| 4| 202412| 1.85| 177.34| 0| 12.88| 태양력
삼천포태양광#5| 1| 202412| 3.94| 431.26| 0| 14.71| 태양력
삼천포태양광#5| 2| 202412| 6.65| 706.52| 0| 14.28| 태양력
삼천포태양광#6| 1| 202412| 0.98| 77.24| 0| 10.59| 태양력
삼천포풍력| 1| 202412| 0.75| 0.01| 0| 0| 풍력
삼천포해양소수력| 1| 202412| 5| 1186.04| 0| 31.88| 소수력
안산연료전지| 1| 202412| 2.64| 1292.85| 29.81| 65.82| 기타
어음풍력| 1| 202412| 21| 5294.33| 0| 33.89| 풍력
여수| 1| 202412| 340| 127676| 26.39| 50.47| 석탄
여수| 2| 202412| 328.6| 105935| 31.45| 43.33| 석탄
여수연료전지| 1| 202412| 9.68| 6244.56| 42.95| 86.71| 기타
여수태양광| 1| 202412| 0.17| 16.48| 0| 13.03| 태양력
영동| 1| 202412| 125| 78561| 0| 84.47| 바이오매스
영동| 2| 202412| 200| 54355| 0| 36.53| 바이오매스
영동태양광| 1| 202412| 1.07| 99.55| 0| 12.51| 태양력
영흥| 1| 202412| 800| 0| 0| 0| 석탄
영흥| 2| 202412| 800| 0| 0| 0| 석탄
영흥| 3| 202412| 870| 0| 0| 0| 석탄
영흥| 4| 202412| 870| 593410.13| 38.61| 91.68| 석탄
영흥| 5| 202412| 870| 590687| 40.86| 91.26| 석탄
영흥| 6| 202412| 870| 566602| 40.68| 87.54| 석탄
영흥태양광| 1| 202412| 1| 22.26| 0| 2.99| 태양력
영흥태양광| 2| 202412| 0.99| 67.11| 0| 9.11| 태양력
영흥태양광 #3| 1| 202412| 3.33| 208.63| 0| 8.42| 태양력
영흥태양광 #3| 2| 202412| 1.28| 104.69| 0| 10.99| 태양력
영흥태양광 #3| 3| 202412| 1.54| 112.52| 0| 9.82| 태양력
영흥태양광#5| 1| 202412| 3.5| 332.74| 0| 12.78| 태양력
영흥풍력| 1| 202412| 22| 526.35| 0| 3.22| 풍력
영흥풍력| 2| 202412| 24| 1939.83| 0| 10.86| 풍력
영흥해양소수력| 1| 202412| 3| 620.75| 0| 27.81| 소수력
영흥해양소수력| 2| 202412| 4.6| 18.7| 0| .55| 소수력
영흥해양소수력| 3| 202412| 5| 1020.6| 0| 27.44| 소수력
예천태양광| 1| 202412| 2| 224.02| 0| 15.06| 태양력
탑선태양광| 1| 202412| 0.61| 16.48| 0| 3.63| 태양력
탑선태양광| 3| 202412| 0.4| 12.25| 0| 4.12| 태양력
경상대태양광| 1| 202411| 0.91| 70.73| 0| 10.8| 태양력
고흥만 수상태양광| 1| 202411| 63.48| 5731.45| 0| 12.54| 태양력
광양항세방태양광| 1| 202411| 3.1| 199.01| 0| 8.92| 태양력
구미태양광| 1| 202411| 0.99| 81| 0| 11.36| 태양력
군위 화산풍력| 1| 202411| 11.55| 1541.62| 0| 18.54| 
두산태양광| 1| 202411| 0.08| 5.35| 0| 9.29| 태양력
분당| CG1| 202411| 77.76| 21432| 29.09| 38.28| 복합
분당| CG2| 202411| 77.76| 22614| 28.66| 40.39| 복합
분당| CG3| 202411| 77.76| 32179| 29.82| 57.48| 복합
분당| CG4| 202411| 77.76| 9975| 29.78| 17.82| 복합
분당| CG5| 202411| 77.76| 12138| 30| 21.68| 복합
분당| CG6| 202411| 77.76| 18137| 29.6| 32.39| 복합
분당| CG7| 202411| 77.76| 0| 0| 0| 복합
분당| CG8| 202411| 77.76| 18309| 29.67| 32.7| 복합
분당| CS1| 202411| 185| 27774| 0| 20.85| 복합
분당| CS2| 202411| 115| 10418| 0| 12.58| 복합
분당연료전지| 2| 202411| 3.08| 976.85| 32.23| 44.05| 기타
분당연료전지| 3| 202411| 5.72| 2917.89| 32.07| 70.85| 기타
분당연료전지| 4| 202411| 16.72| 7978.6| 31.78| 66.28| 기타
분당연료전지| 5| 202411| 5.72| 2861.11| 33.18| 69.47| 기타
분당연료전지| 6-1| 202411| 5.1| 3412.46| 47.18| 92.93| 기타
분당연료전지| 6-2| 202411| 3.25| 2212.06| 46.36| 94.53| 기타
삼천포| 3| 202411| 560| 197675| 34.4| 49.03| 석탄
삼천포| 4| 202411| 560| 0| 0| 0| 석탄
삼천포| 5| 202411| 500| 116161| 35.76| 32.27| 석탄
삼천포| 6| 202411| 500| 287191| 36.44| 79.78| 석탄
삼천포태양광| 1| 202411| 0.1| 5.41| 0| 7.51| 태양력
삼천포태양광| 2| 202411| 0.99| 86.13| 0| 12.08| 태양력
삼천포태양광| 3| 202411| 0.35| 27.62| 0| 10.96| 태양력
삼천포태양광| 4| 202411| 1.85| 145.38| 0| 10.91| 태양력
삼천포태양광#5| 1| 202411| 3.94| 343.92| 0| 12.12| 태양력
삼천포태양광#5| 2| 202411| 6.65| 586.57| 0| 12.25| 태양력
삼천포태양광#6| 1| 202411| 0.98| 70.74| 0| 10.03| 태양력
삼천포풍력| 1| 202411| 0.75| 9.17| 0| 1.7| 풍력
삼천포해양소수력| 1| 202411| 5| 1176.39| 0| 32.68| 소수력
안산연료전지| 1| 202411| 2.64| 1177.91| 31.09| 61.97| 기타
어음풍력| 1| 202411| 21| 4008.96| 0| 26.51| 풍력
여수| 1| 202411| 340| 27589| 29.53| 11.27| 석탄
여수| 2| 202411| 328.6| 175395| 34.96| 74.13| 석탄
여수연료전지| 1| 202411| 9.68| 6231.29| 42.97| 89.41| 기타
여수태양광| 1| 202411| 0.17| 15.21| 0| 12.43| 태양력
영동| 1| 202411| 125| 76342| 0| 84.82| 바이오매스
영동| 2| 202411| 200| 0| 0| 0| 바이오매스
영동태양광| 1| 202411| 1.07| 79.28| 0| 10.29| 태양력
영흥| 1| 202411| 800| 0| 0| 0| 석탄
영흥| 2| 202411| 800| 0| 0| 0| 석탄
영흥| 3| 202411| 870| 0| 0| 0| 석탄
영흥| 4| 202411| 870| 478737.86| 40.58| 76.43| 석탄
영흥| 5| 202411| 870| 573922| 41.18| 91.62| 석탄
영흥| 6| 202411| 870| 511482| 40.94| 81.65| 석탄
영흥태양광| 1| 202411| 1| 69.89| 0| 9.71| 태양력
영흥태양광| 2| 202411| 0.99| 66.86| 0| 9.38| 태양력
영흥태양광 #3| 1| 202411| 3.33| 179.38| 0| 7.48| 태양력
영흥태양광 #3| 2| 202411| 1.28| 102.58| 0| 11.13| 태양력
영흥태양광 #3| 3| 202411| 1.54| 96.75| 0| 8.73| 태양력
영흥태양광#5| 1| 202411| 3.5| 312.22| 0| 12.39| 태양력
영흥풍력| 1| 202411| 22| 371.92| 0| 2.35| 풍력
영흥풍력| 2| 202411| 24| 1572.69| 0| 9.1| 풍력
영흥해양소수력| 1| 202411| 3| 188.53| 0| 8.73| 소수력
영흥해양소수력| 2| 202411| 4.6| 198.18| 0| 5.98| 소수력
영흥해양소수력| 3| 202411| 5| 1942.5| 0| 53.96| 소수력
예천태양광| 1| 202411| 2| 180.78| 0| 12.55| 태양력
탑선태양광| 1| 202411| 0.61| 24.36| 0| 5.55| 태양력
탑선태양광| 3| 202411| 0.4| 14.63| 0| 5.08| 태양력
경상대태양광| 1| 202410| 0.91| 70.37| 0| 10.39| 태양력
고흥만 수상태양광| 1| 202410| 63.48| 6467.96| 0| 13.69| 태양력
광양항세방태양광| 1| 202410| 3.1| 234.87| 0| 10.18| 태양력
구미태양광| 1| 202410| 0.99| 78.72| 0| 10.69| 태양력
군위 화산풍력| 1| 202410| 11.55| 1071.55| 0| 12.47| 
두산태양광| 1| 202410| 0.08| 5.24| 0| 8.8| 태양력
분당| CG1| 202410| 77.76| 0| 0| 0| 복합
분당| CG2| 202410| 77.76| 0| 0| 0| 복합
분당| CG3| 202410| 77.76| 53| 19.6| .09| 복합
분당| CG4| 202410| 77.76| 51| 19.37| .09| 복합
분당| CG5| 202410| 77.76| 0| 0| 0| 복합
분당| CG6| 202410| 77.76| 26295| 28.19| 45.45| 복합
분당| CG7| 202410| 77.76| 17053| 27.44| 29.48| 복합
분당| CG8| 202410| 77.76| 8872| 28| 15.34| 복합
분당| CS1| 202410| 185| 0| 0| 0| 복합
분당| CS2| 202410| 115| 19922| 0| 23.28| 복합
분당연료전지| 2| 202410| 3.08| 488.73| 31| 21.33| 기타
분당연료전지| 3| 202410| 5.72| 2034.15| 32.03| 47.8| 기타
분당연료전지| 4| 202410| 16.72| 7376.63| 32.34| 59.3| 기타
분당연료전지| 5| 202410| 5.72| 1919.77| 33.43| 45.11| 기타
분당연료전지| 6-1| 202410| 5.1| 3512.92| 47.56| 92.58| 기타
분당연료전지| 6-2| 202410| 3.25| 2272.49| 46.7| 93.98| 기타
삼천포| 3| 202410| 560| 296537| 35.8| 71.17| 석탄
삼천포| 4| 202410| 560| 0| 0| 0| 석탄
삼천포| 5| 202410| 500| 190995| 36.68| 51.34| 석탄
삼천포| 6| 202410| 500| 165013| 37.2| 44.36| 석탄
삼천포태양광| 1| 202410| 0.1| 5.46| 0| 7.34| 태양력
삼천포태양광| 2| 202410| 0.99| 92.85| 0| 12.61| 태양력
삼천포태양광| 3| 202410| 0.35| 30.71| 0| 11.79| 태양력
삼천포태양광| 4| 202410| 1.85| 146.29| 0| 10.63| 태양력
삼천포태양광#5| 1| 202410| 3.94| 350.48| 0| 11.96| 태양력
삼천포태양광#5| 2| 202410| 6.65| 597.89| 0| 12.08| 태양력
삼천포태양광#6| 1| 202410| 0.98| 75.99| 0| 10.42| 태양력
삼천포풍력| 1| 202410| 0.75| 32.03| 0| 5.74| 풍력
삼천포해양소수력| 1| 202410| 5| 1148.09| 0| 30.86| 소수력
안산연료전지| 1| 202410| 2.64| 1340.41| 26.43| 68.24| 기타
어음풍력| 1| 202410| 21| 2943.94| 0| 18.84| 풍력
여수| 1| 202410| 340| 104233| 32.98| 41.21| 석탄
여수| 2| 202410| 328.6| 100049| 34.86| 40.92| 석탄
여수연료전지| 1| 202410| 9.68| 6525.65| 43.38| 90.61| 기타
여수태양광| 1| 202410| 0.17| 15.96| 0| 12.62| 태양력
영동| 1| 202410| 125| 50920| 0| 54.75| 바이오매스
영동| 2| 202410| 200| 107398| 0| 72.18| 바이오매스
영동태양광| 1| 202410| 1.07| 80.39| 0| 10.1| 태양력
영흥| 1| 202410| 800| 0| 0| 0| 석탄
영흥| 2| 202410| 800| 0| 0| 0| 석탄
영흥| 3| 202410| 870| 0| 0| 0| 석탄
영흥| 4| 202410| 870| 559797.98| 40.43| 86.48| 석탄
영흥| 5| 202410| 870| 585555| 40.59| 90.46| 석탄
영흥| 6| 202410| 870| 586271| 40.47| 90.57| 석탄
영흥태양광| 1| 202410| 1| 81.32| 0| 10.93| 태양력
영흥태양광| 2| 202410| 0.99| 68.9| 0| 9.35| 태양력
영흥태양광 #3| 1| 202410| 3.33| 163.26| 0| 6.59| 태양력
영흥태양광 #3| 2| 202410| 1.28| 55.94| 0| 5.87| 태양력
영흥태양광 #3| 3| 202410| 1.54| 95.23| 0| 8.31| 태양력
영흥태양광#5| 1| 202410| 3.5| 355.92| 0| 13.67| 태양력
영흥풍력| 1| 202410| 22| 220.61| 0| 1.35| 풍력
영흥풍력| 2| 202410| 24| 306.57| 0| 1.72| 풍력
영흥해양소수력| 1| 202410| 3| 0| 0| 0| 소수력
영흥해양소수력| 2| 202410| 4.6| 0| 0| 0| 소수력
영흥해양소수력| 3| 202410| 5| 1362.47| 0| 36.63| 소수력
예천태양광| 1| 202410| 2| 157.84| 0| 10.61| 태양력
탑선태양광| 1| 202410| 0.61| 32.05| 0| 7.06| 태양력
탑선태양광| 3| 202410| 0.4| 13.65| 0| 4.59| 태양력
경상대태양광| 1| 202409| 0.91| 80.45| 0| 12.28| 태양력
고흥만 수상태양광| 1| 202409| 63.48| 7614.76| 0| 16.66| 태양력
광양항세방태양광| 1| 202409| 3.1| 282.23| 0| 12.64| 태양력
구미태양광| 1| 202409| 0.99| 88.36| 0| 12.4| 태양력
군위 화산풍력| 1| 202409| 11.55| 464.67| 0| 5.59| 
두산태양광| 1| 202409| 0.08| 6.01| 0| 10.43| 태양력
분당| CG1| 202409| 77.76| 6139| 25.3| 10.97| 복합
분당| CG2| 202409| 77.76| 4545| 25.59| 8.12| 복합
분당| CG3| 202409| 77.76| 5863| 26.53| 10.47| 복합
분당| CG4| 202409| 77.76| 4299| 26.54| 7.68| 복합
분당| CG5| 202409| 77.76| 4214| 26.79| 7.53| 복합
분당| CG6| 202409| 77.76| 22069| 28.36| 39.42| 복합
분당| CG7| 202409| 77.76| 19102| 27.79| 34.12| 복합
분당| CG8| 202409| 77.76| 8927| 27.28| 15.94| 복합
분당| CS1| 202409| 185| 10692| 0| 8.03| 복합
분당| CS2| 202409| 115| 24434| 0| 29.51| 복합
분당연료전지| 2| 202409| 3.08| 0| 0| 0| 기타
분당연료전지| 3| 202409| 5.72| 0| 0| 0| 기타
분당연료전지| 4| 202409| 16.72| 1269.89| 28.91| 10.55| 기타
분당연료전지| 5| 202409| 5.72| 0| 0| 0| 기타
분당연료전지| 6-1| 202409| 5.1| 3347.08| 47.35| 91.15| 기타
분당연료전지| 6-2| 202409| 3.25| 2199.34| 46.56| 93.99| 기타
삼천포| 3| 202409| 560| 286299| 36.45| 71.01| 석탄
삼천포| 4| 202409| 560| 6932| 24.2| 1.72| 석탄
삼천포| 5| 202409| 500| 198900| 33.63| 55.25| 석탄
삼천포| 6| 202409| 500| 216643| 35.16| 60.18| 석탄
삼천포태양광| 1| 202409| 0.1| 6.05| 0| 8.4| 태양력
삼천포태양광| 2| 202409| 0.99| 101.3| 0| 14.21| 태양력
삼천포태양광| 3| 202409| 0.35| 35.59| 0| 14.12| 태양력
삼천포태양광| 4| 202409| 1.85| 156.74| 0| 11.77| 태양력
삼천포태양광#5| 1| 202409| 3.94| 267.17| 0| 9.42| 태양력
삼천포태양광#5| 2| 202409| 6.65| 427.19| 0| 8.92| 태양력
삼천포태양광#6| 1| 202409| 0.98| 89.55| 0| 12.69| 태양력
삼천포풍력| 1| 202409| 0.75| 14.84| 0| 2.75| 풍력
삼천포해양소수력| 1| 202409| 5| 1158.92| 0| 32.19| 소수력
안산연료전지| 1| 202409| 2.64| 1251.17| 24.89| 65.82| 기타
어음풍력| 1| 202409| 21| 1475.67| 0| 9.76| 풍력
여수| 1| 202409| 340| 182115| 37.1| 74.39| 석탄
여수| 2| 202409| 328.6| 98688| 34.81| 41.71| 석탄
여수연료전지| 1| 202409| 9.68| 6177.19| 43.52| 88.63| 기타
영동| 1| 202409| 125| 75846| 0| 84.27| 바이오매스
영동| 2| 202409| 200| 72210| 0| 50.15| 바이오매스
영동태양광| 1| 202409| 1.07| 84.72| 0| 11| 태양력
영흥| 1| 202409| 800| 0| 0| 0| 석탄
영흥| 2| 202409| 800| 0| 0| 0| 석탄
영흥| 3| 202409| 870| 307899.66| 40.01| 49.15| 석탄
영흥| 4| 202409| 870| 574326.05| 40.44| 91.69| 석탄
영흥| 5| 202409| 870| 571185| 41.01| 91.19| 석탄
영흥| 6| 202409| 870| 372326| 40.29| 59.44| 석탄
영흥태양광| 1| 202409| 1| 92.46| 0| 12.84| 태양력
영흥태양광| 2| 202409| 0.99| 86.42| 0| 12.12| 태양력
영흥태양광 #3| 1| 202409| 3.33| 189.16| 0| 7.89| 태양력
영흥태양광 #3| 2| 202409| 1.28| 58.75| 0| 6.37| 태양력
영흥태양광 #3| 3| 202409| 1.54| 105.89| 0| 9.55| 태양력
영흥태양광#5| 1| 202409| 3.5| 387.72| 0| 15.39| 태양력
영흥풍력| 1| 202409| 22| 353.88| 0| 2.23| 풍력
영흥풍력| 2| 202409| 24| 619.53| 0| 3.59| 풍력
영흥해양소수력| 1| 202409| 3| 428.92| 0| 19.86| 소수력
영흥해양소수력| 2| 202409| 4.6| 109.06| 0| 3.29| 소수력
영흥해양소수력| 3| 202409| 5| 1578.77| 0| 43.85| 소수력
예천태양광| 1| 202409| 2| 173.72| 0| 12.06| 태양력
탑선태양광| 1| 202409| 0.61| 44.51| 0| 10.13| 태양력
탑선태양광| 3| 202409| 0.4| 22.67| 0| 7.87| 태양력
경상대태양광| 1| 202408| 0.91| 98.94| 0| 14.61| 태양력
고흥만 수상태양광| 1| 202408| 63.48| 9600.09| 0| 20.33| 태양력
광양항세방태양광| 1| 202408| 3.1| 368.77| 0| 15.99| 태양력
구미태양광| 1| 202408| 0.99| 116.09| 0| 15.76| 태양력
군위 화산풍력| 1| 202408| 11.55| 649.02| 0| 7.55| 
두산태양광| 1| 202408| 0.08| 7.25| 0| 12.18| 태양력
분당| CG1| 202408| 77.76| 11220| 25.48| 19.39| 복합
분당| CG2| 202408| 77.76| 9255| 25.9| 16| 복합
분당| CG3| 202408| 77.76| 11230| 26.79| 19.41| 복합
분당| CG4| 202408| 77.76| 8140| 26.9| 14.07| 복합
분당| CG5| 202408| 77.76| 8336| 27.11| 14.41| 복합
분당| CG6| 202408| 77.76| 14794| 27.99| 25.57| 복합
분당| CG7| 202408| 77.76| 12497| 27.92| 21.6| 복합
분당| CG8| 202408| 77.76| 15070| 27.35| 26.05| 복합
분당| CS1| 202408| 185| 20367| 0| 14.8| 복합
분당| CS2| 202408| 115| 20152| 0| 23.55| 복합
분당연료전지| 2| 202408| 3.08| 831.56| 32.69| 36.29| 기타
분당연료전지| 3| 202408| 5.72| 1706.8| 32.17| 40.11| 기타
분당연료전지| 4| 202408| 16.72| 5092.75| 31.97| 40.94| 기타
분당연료전지| 5| 202408| 5.72| 1738.36| 32.17| 40.85| 기타
분당연료전지| 6-1| 202408| 5.1| 3498.8| 47.33| 92.21| 기타
분당연료전지| 6-2| 202408| 3.25| 2234.59| 46.6| 92.41| 기타
삼천포| 3| 202408| 560| 319299| 36.02| 76.64| 석탄
삼천포| 4| 202408| 560| 289463| 36.58| 69.48| 석탄
삼천포| 5| 202408| 500| 285227| 34.99| 76.67| 석탄
삼천포| 6| 202408| 500| 265877| 36.27| 71.47| 석탄
삼천포태양광| 1| 202408| 0.1| 7.23| 0| 9.72| 태양력
삼천포태양광| 2| 202408| 0.99| 119.67| 0| 16.25| 태양력
삼천포태양광| 3| 202408| 0.35| 42.25| 0| 16.23| 태양력
삼천포태양광| 4| 202408| 1.85| 181.73| 0| 13.2| 태양력
삼천포태양광#5| 1| 202408| 3.94| 285.58| 0| 9.74| 태양력
삼천포태양광#5| 2| 202408| 6.65| 672.79| 0| 13.6| 태양력
삼천포태양광#6| 1| 202408| 0.98| 114.33| 0| 15.68| 태양력
삼천포풍력| 1| 202408| 0.75| 25.66| 0| 4.6| 풍력
삼천포해양소수력| 1| 202408| 5| 1820.56| 0| 48.94| 소수력
안산연료전지| 1| 202408| 2.64| 1317.53| 23.53| 67.08| 기타
어음풍력| 1| 202408| 21| 1365.73| 0| 8.74| 풍력
여수| 1| 202408| 340| 195125| 37.15| 77.14| 석탄
여수| 2| 202408| 328.6| 130752| 35.46| 53.48| 석탄
여수연료전지| 1| 202408| 9.68| 5864.58| 42.51| 81.43| 기타
영동| 1| 202408| 125| 73497| 0| 79.03| 바이오매스
영동| 2| 202408| 200| 105919| 0| 71.18| 바이오매스
영동태양광| 1| 202408| 1.07| 129.75| 0| 16.3| 태양력
영흥| 1| 202408| 800| 0| 0| 0| 석탄
영흥| 2| 202408| 800| 0| 0| 0| 석탄
영흥| 3| 202408| 870| 552930.9| 39.94| 85.42| 석탄
영흥| 4| 202408| 870| 613941.25| 40.6| 94.85| 석탄
영흥| 5| 202408| 870| 603063| 40.63| 93.17| 석탄
영흥| 6| 202408| 870| 535076| 39.74| 82.67| 석탄
영흥태양광| 1| 202408| 1| 112.84| 0| 15.17| 태양력
영흥태양광| 2| 202408| 0.99| 102.64| 0| 13.94| 태양력
영흥태양광 #3| 1| 202408| 3.33| 213.01| 0| 8.6| 태양력
영흥태양광 #3| 2| 202408| 1.28| 54.4| 0| 5.71| 태양력
영흥태양광 #3| 3| 202408| 1.54| 125.76| 0| 10.98| 태양력
영흥태양광#5| 1| 202408| 3.5| 407.31| 0| 15.64| 태양력
영흥풍력| 1| 202408| 22| 21.84| 0| .13| 풍력
영흥풍력| 2| 202408| 24| 285.38| 0| 1.6| 풍력
영흥해양소수력| 1| 202408| 3| 818.9| 0| 36.69| 소수력
영흥해양소수력| 2| 202408| 4.6| 8.04| 0| .23| 소수력
영흥해양소수력| 3| 202408| 5| 1625.97| 0| 43.71| 소수력
예천태양광| 1| 202408| 2| 213.4| 0| 14.34| 태양력
탑선태양광| 1| 202408| 0.61| 46.52| 0| 10.25| 태양력
탑선태양광| 3| 202408| 0.4| 26.72| 0| 8.98| 태양력
경상대태양광| 1| 202407| 0.91| 75.84| 0| 11.2| 태양력
고흥만 수상태양광| 1| 202407| 63.48| 7269.07| 0| 15.39| 태양력
광양항세방태양광| 1| 202407| 3.1| 308.64| 0| 13.38| 태양력
구미태양광| 1| 202407| 0.99| 88.47| 0| 12.01| 태양력
군위 화산풍력| 1| 202407| 11.55| 1243.85| 0| 14.47| 
두산태양광| 1| 202407| 0.08| 7.97| 0| 13.39| 태양력
분당| CG1| 202407| 77.76| 3554| 25.94| 6.14| 복합
분당| CG2| 202407| 77.76| 2203| 26.96| 3.81| 복합
분당| CG3| 202407| 77.76| 3243| 27.43| 5.61| 복합
분당| CG4| 202407| 77.76| 2058| 27.77| 3.56| 복합
분당| CG5| 202407| 77.76| 1964| 27.97| 3.39| 복합
분당| CG6| 202407| 77.76| 8782| 29.39| 15.18| 복합
분당| CG7| 202407| 77.76| 7490| 29.28| 12.95| 복합
분당| CG8| 202407| 77.76| 8992| 28.65| 15.54| 복합
분당| CS1| 202407| 185| 5327| 0| 3.87| 복합
분당| CS2| 202407| 115| 12290| 0| 14.36| 복합
분당연료전지| 2| 202407| 3.08| 1421.78| 32.71| 62.05| 기타
분당연료전지| 3| 202407| 5.72| 3248.86| 32.31| 76.34| 기타
분당연료전지| 4| 202407| 16.72| 9226.6| 32.37| 74.17| 기타
분당연료전지| 5| 202407| 5.72| 3485.71| 32.4| 81.91| 기타
분당연료전지| 6-1| 202407| 5.1| 3554.4| 47.63| 93.67| 기타
분당연료전지| 6-2| 202407| 3.25| 2294.25| 46.98| 94.88| 기타
삼천포| 3| 202407| 560| 208368| 36.25| 50.01| 석탄
삼천포| 4| 202407| 560| 236619| 36.42| 56.79| 석탄
삼천포| 5| 202407| 500| 291366| 35.04| 78.32| 석탄
삼천포| 6| 202407| 500| 224368| 35.7| 60.31| 석탄
삼천포태양광| 1| 202407| 0.1| 5.9| 0| 7.93| 태양력
삼천포태양광| 2| 202407| 0.99| 94.98| 0| 12.9| 태양력
삼천포태양광| 3| 202407| 0.35| 30.81| 0| 11.83| 태양력
삼천포태양광| 4| 202407| 1.85| 128.23| 0| 9.32| 태양력
삼천포태양광#5| 1| 202407| 3.94| 266.12| 0| 9.08| 태양력
삼천포태양광#5| 2| 202407| 6.65| 633.64| 0| 12.81| 태양력
삼천포태양광#6| 1| 202407| 0.98| 80| 0| 10.97| 태양력
삼천포풍력| 1| 202407| 0.75| 0.08| 0| .01| 풍력
삼천포해양소수력| 1| 202407| 5| 1622.71| 0| 43.62| 소수력
안산연료전지| 1| 202407| 2.64| 1323.74| 24.96| 67.39| 기타
어음풍력| 1| 202407| 21| 7720.59| 0| 49.41| 풍력
여수| 1| 202407| 340| 196290| 36.8| 77.6| 석탄
여수| 2| 202407| 328.6| 94233| 35.79| 38.54| 석탄
여수연료전지| 1| 202407| 9.68| 5284.45| 39.41| 73.38| 기타
영동| 1| 202407| 125| 75198| 0| 80.86| 바이오매스
영동| 2| 202407| 200| 70879.73| 0| 47.63| 바이오매스
영동태양광| 1| 202407| 1.07| 97.07| 0| 12.19| 태양력
영흥| 1| 202407| 800| 0| 0| 0| 석탄
영흥| 2| 202407| 800| 0| 0| 0| 석탄
영흥| 3| 202407| 870| 571687.83| 39.95| 88.32| 석탄
영흥| 4| 202407| 870| 476783.31| 40.37| 73.66| 석탄
영흥| 5| 202407| 870| 597900| 41.12| 92.37| 석탄
영흥| 6| 202407| 870| 526210| 40.43| 81.3| 석탄
영흥태양광| 1| 202407| 1| 81.09| 0| 10.9| 태양력
영흥태양광| 2| 202407| 0.99| 58.41| 0| 7.93| 태양력
영흥태양광 #3| 1| 202407| 3.33| 157.69| 0| 6.36| 태양력
영흥태양광 #3| 2| 202407| 1.28| 51.4| 0| 5.4| 태양력
영흥태양광 #3| 3| 202407| 1.54| 104.19| 0| 9.09| 태양력
영흥태양광#5| 1| 202407| 3.5| 339.85| 0| 13.05| 태양력
영흥풍력| 1| 202407| 22| 366.69| 0| 2.24| 풍력
영흥풍력| 2| 202407| 24| 1715.26| 0| 9.61| 풍력
영흥해양소수력| 1| 202407| 3| 479.98| 0| 21.5| 소수력
영흥해양소수력| 2| 202407| 4.6| 1.4| 0| .04| 소수력
영흥해양소수력| 3| 202407| 5| 1536.11| 0| 41.29| 소수력
예천태양광| 1| 202407| 2| 158.23| 0| 10.63| 태양력
탑선태양광| 1| 202407| 0.61| 42.99| 0| 9.47| 태양력
탑선태양광| 3| 202407| 0.4| 17.89| 0| 6.01| 태양력
경상대태양광| 1| 202406| 0.91| 89.16| 0| 13.61| 태양력
고흥만 수상태양광| 1| 202406| 63.48| 7944.79| 0| 17.38| 태양력
광양항세방태양광| 1| 202406| 3.1| 354.48| 0| 15.88| 태양력
구미태양광| 1| 202406| 0.99| 94| 0| 13.19| 태양력
군위 화산풍력| 1| 202406| 11.55| 743.57| 0| 8.94| 
두산태양광| 1| 202406| 0.08| 9.76| 0| 16.94| 태양력
분당| CG1| 202406| 77.76| 6462| 25.73| 11.54| 복합
분당| CG2| 202406| 77.76| 465| 24.48| .83| 복합
